116, Finished Airing, TV-Tokyo, Estudio-nao-listado, Original, Adventure, Comedy, Romance, 23-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.06
117, Finished Airing, Pioneer-LDC, Estudio-nao-listado, Original, Adventure, Comedy, Fantasy, 34-min.-per-ep., PG-13---Teens-13-or-older, 7, 7.40
118, Finished Airing, Pioneer-LDC, Estudio-nao-listado, Original, Adventure, Comedy, Fantasy, 30-min.-per-ep., PG-13---Teens-13-or-older, 4, 6.95
119, Finished Airing, Trinet-Entertainment, Estudio-nao-listado, Visual-novel, Comedy, Drama, Romance, 14-min.-per-ep., PG-13---Teens-13-or-older, 13, 6.64
120, Finished Airing, TV-Tokyo, Studio-Deen, Manga, Slice of Life, Comedy, Drama, 24-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.77
121, Finished Airing, Aniplex, Bones, Manga, Action, Adventure, Comedy, 24-min.-per-ep., PG-13---Teens-13-or-older, 51, 8.29
122, Finished Airing, Nihon-Ad-Systems, Studio-Deen, Manga, Music, Comedy, Supernatural, 24-min.-per-ep., PG-13---Teens-13-or-older, 52, 8.05
123, Finished Airing, TV-Tokyo, Studio-Pierrot, Manga, Adventure, Fantasy, Magic, 23-min.-per-ep., PG-13---Teens-13-or-older, 52, 7.75
125, Finished Airing, Lantis, Estudio-nao-listado, Original, Comedy, Romance, School, 24-min.-per-ep., PG-13---Teens-13-or-older, 13, 6.59
126, Finished Airing, Lantis, Estudio-nao-listado, Original, Comedy, Drama, Romance, 24-min.-per-ep., PG-13---Teens-13-or-older, 13, 6.99
127, Finished Airing, Media-Factory, Gonzo, Game, Action, Comedy, Fantasy, 25-min.-per-ep., PG-13---Teens-13-or-older, 24, 7.04
129, Finished Airing, TV-Tokyo, Studio-Pierrot, Manga, Adventure, Comedy, Supernatural, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 50, 7.68
132, Finished Airing, TBS, Studio-Deen, Manga, Action, Comedy, Drama, 24-min.-per-ep., PG-13---Teens-13-or-older, 49, 7.69
133, Finished Airing, Pony-Canyon, Estudio-nao-listado, Visual-novel, Comedy, Ecchi, Romance, 24-min.-per-ep., R+---Mild-Nudity, 12, 6.36
134, Finished Airing, Marvelous, Madhouse-Inc., Manga, Action, Psychological, Military, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 13, 7.51
